Date,Open,High,Low,Close,Volume
3/31/2018,6839.63,7231.73,6794.26,6928.62,11579.59706
4/1/2018,6926.5,7045.71,6427.16,6813.52,18046.94087
4/2/2018,6816.31,7106.5,6759.96,7052.76,13624.16036
4/3/2018,7052.75,7506.84,7001.28,7416.27,16089.54163
4/4/2018,7415.53,7430,6710.38,6799.95,15779.20247
4/5/2018,6799.37,6928.7,6578.95,6771.69,11894.53598
4/6/2018,6771.3,6850,6510,6618.33,8478.418069
4/7/2018,6627.7,7069.13,6600.99,6904.9,7683.041653
4/8/2018,6904.21,7104.52,6894.8,7027.26,4352.697942
4/9/2018,7027.26,7175.83,6611.49,6780.1,10103.91622
4/10/2018,6782.39,6900,6653.21,6835.67,6480.192764
4/11/2018,6824.75,6984.92,6809.26,6940.94,5825.410646
4/12/2018,6940.94,8069.34,6758.45,7923.78,19033.38033
4/13/2018,7923.78,8239.33,7753.32,7896.92,19605.94275
4/14/2018,7885.9,8232.14,7835,8000.41,8935.530715
4/15/2018,8003.39,8417,8001.23,8354.22,7542.840816
4/16/2018,8353.43,8424.99,7905,8048.15,10866.60296
4/17/2018,8054.68,8160.85,7806.81,7890.87,9277.151215
4/18/2018,7890.87,8235,7870.35,8172.84,9227.204598
4/19/2018,8172.83,8297.99,8074.44,8271.31,9436.846328
4/20/2018,8273,8934,8216.9,8861,16059.62267
4/21/2018,8865.78,9023.4,8608,8920.71,15336.30793
4/22/2018,8924.93,9036.52,8760,8789.96,9346.451759
4/23/2018,8781.7,9006.39,8771.22,8946.95,10286.11771
4/24/2018,8942,9737.16,8930,9648,20460.50898
4/25/2018,9648.36,9755.53,8751,8864.99,33035.90404
4/26/2018,8855.07,9326.79,8647.29,9274.48,20042.9697
4/27/2018,9277.32,9387.82,8901.09,8921.43,11375.51438
4/28/2018,8916.54,9442.34,8854.47,9345.11,15558.4023
4/29/2018,9352.97,9538.75,9180,9393.99,10940.71803
4/30/2018,9396.32,9443.96,9111,9242.17,8085.688295
5/1/2018,9243.51,9249.99,8815.91,9066.9,12138.26396
5/2/2018,9066.9,9259.16,8975.23,9222,10575.17498
5/3/2018,9220,9799.99,9165.19,9732.43,11670.79958
5/4/2018,9737,9784.73,9527.38,9696.57,7326.052071
5/5/2018,9689,9948.98,9670.68,9823.28,7403.105024
5/6/2018,9827.04,9918.41,9375,9623.54,8155.576857
5/7/2018,9621.99,9634.5,9175,9359.52,13616.34859
5/8/2018,9356.79,9450,9015,9167.69,11418.31054
5/9/2018,9181.52,9368.79,8974.62,9308.49,11368.83433
5/10/2018,9308.49,9393,8987.74,9020.99,11764.97751
5/11/2018,9007.19,9018.38,8351,8411.42,20383.92661
5/12/2018,8408.79,8652.8,8208.81,8481.6,15464.9294
5/13/2018,8481.72,8775.9,8335.56,8696.58,9835.224509
5/14/2018,8696.54,8900.9,8286.57,8674.36,18851.34139
5/15/2018,8674.53,8865,8400,8474.99,12391.83199
5/16/2018,8481.99,8505.33,8100.01,8346.59,12705.12322
5/17/2018,8337.77,8500,7980,8067.03,8259.124524
5/18/2018,8058.16,8275.1,7929.53,8248.87,7181.203883
5/19/2018,8248.99,8395,8141.08,8231.2,3784.075766
5/20/2018,8225.55,8590,8170.71,8518.48,5314.9989
5/21/2018,8518.64,8589.1,8320,8391.76,6126.971053
5/22/2018,8403.23,8417.65,7951.41,7984.08,9101.060787
5/23/2018,7983.98,8032.01,7435.49,7502.89,17635.90129
5/24/2018,7509.99,7733.99,7267.24,7586.88,11646.55393
5/25/2018,7579.3,7661.07,7328.13,7471.18,10088.84331
5/26/2018,7459.21,7622.87,7276.04,7335.99,4043.384348
5/27/2018,7335.99,7412.57,7213.09,7347.39,3144.451109
5/28/2018,7348.64,7445,7084.99,7112.5,6581.844129
5/29/2018,7112.2,7537,7026.9,7469.45,11049.92099
5/30/2018,7469.45,7559,7273.89,7375.73,8940.454005
5/31/2018,7375.64,7601.23,7330.22,7492.28,7339.007269
6/1/2018,7492.28,7620.01,7348.45,7511.6,6762.627573
6/2/2018,7511.72,7700,7438.92,7642,4012.168755
6/3/2018,7642,7790.69,7581.03,7703.67,4729.210084
6/4/2018,7712.97,7764.44,7449.68,7488.26,6990.551353
6/5/2018,7494.99,7685,7360,7617.98,9968.404454
6/6/2018,7617.98,7695.46,7482.61,7658.57,7058.055772
6/7/2018,7658.99,7750,7618.99,7689.28,7545.009251
6/8/2018,7676.41,7697,7542,7618.11,4676.558328
6/9/2018,7618.11,7686.45,7468.31,7492.7,2713.781045
6/10/2018,7498,7498,6627.7,6781.17,14392.69541
6/11/2018,6781.17,6919.97,6634.86,6880.61,11409.52423
6/12/2018,6880.76,6880.76,6461.42,6557.67,8821.223395
6/13/2018,6557.66,6624.45,6120,6307.4,19190.50458
6/14/2018,6308.49,6708.1,6270.69,6646.1,14185.83821
6/15/2018,6638.8,6666.66,6370,6390.6,7132.206789
6/16/2018,6390.6,6557.81,6333.63,6487.92,3553.692949
6/17/2018,6487.92,6575.35,6429.23,6453.41,2828.756808
6/18/2018,6451.03,6793,6381.25,6707.5,5940.174398
6/19/2018,6711.3,6841.81,6660.21,6736.52,5443.679796
6/20/2018,6728.44,6809.26,6558.95,6756.58,5193.768846
6/21/2018,6756.6,6792.2,6677.85,6718.33,4837.324428
6/22/2018,6718.33,6737.97,5940,6050.45,18544.14405
6/23/2018,6055.17,6261,6048.54,6177.38,4585.871472
6/24/2018,6169.91,6255.05,5780,6153.4,11423.59393
6/25/2018,6153.6,6365.34,6075.01,6253.61,9689.119155
6/26/2018,6252.28,6277,6025.68,6068,7751.622088
6/27/2018,6073.99,6181.11,5985,6135.64,7446.861551
6/28/2018,6135.64,6165.49,5818.14,5848.33,8872.363467
6/29/2018,5845.2,6299,5774.72,6204.24,12067.37317
6/30/2018,6204.01,6510,6190.28,6385.71,6915.088877
7/1/2018,6385.75,6438.55,6259.34,6349.99,4158.3436
7/2/2018,6345.48,6667.57,6270.69,6612.98,8799.802474
7/3/2018,6605.46,6666,6464.39,6507.99,5921.444846
7/4/2018,6507.99,6792.28,6413.2,6584.25,6706.734006
7/5/2018,6575.62,6700,6445.31,6533.69,7688.943108
7/6/2018,6533.69,6636.15,6449.76,6596.53,5457.672187
7/7/2018,6604.74,6820,6510,6759.99,4842.795871
7/8/2018,6755.46,6783.54,6674.6,6706.6,5145.566588
7/9/2018,6706.6,6814.72,6620,6666.75,7165.217233
7/10/2018,6666.75,6683.9,6270.84,6299.46,9163.019775
7/11/2018,6304.45,6400,6285,6380,6370.136801
7/12/2018,6379.13,6380,6072,6243.88,7792.466858
7/13/2018,6243.53,6337.25,6121.01,6215.59,5901.295715
7/14/2018,6208.78,6317.84,6180,6243.98,2584.733962
7/15/2018,6245.99,6397.21,6227.76,6349.3,3556.293107
7/16/2018,6353.25,6755,6333.63,6721.04,9398.437655
7/17/2018,6721.21,7468.31,6657.95,7310.71,12703.29651
7/18/2018,7310.71,7599.98,7239.15,7374.88,13347.87638
7/19/2018,7384.92,7570.9,7278.84,7471.42,8803.253097
7/20/2018,7474.35,7696.88,7265,7330.84,9379.171432
7/21/2018,7330.84,7458,7212,7409.92,4049.810223
7/22/2018,7398.16,7581.03,7336.15,7396.6,5107.978813
7/23/2018,7393.5,7800,7369.86,7719.62,12572.45317
7/24/2018,7712.46,8496.96,7691.14,8403.83,18707.41156
7/25/2018,8394.48,8475,8049.22,8174.06,10348.06858
7/26/2018,8174.06,8314.23,7855.97,7926,8091.87166
7/27/2018,7926,8274.98,7798.48,8183.05,8701.765878
7/28/2018,8177.72,8259,8051.43,8237.74,2765.680491
7/29/2018,8231.07,8299.99,8109.74,8216.74,3980.279408
7/30/2018,8216.74,8295,7853.01,8160.21,11785.89208
7/31/2018,8162.28,8162.37,7633.67,7725.43,11994.08614
8/1/2018,7726.85,7761.56,7440,7602.01,11406.76844
8/2/2018,7600.22,7709.98,7455,7536.37,5262.236132
8/3/2018,7535,7542.92,7286.41,7416.98,9585.779309
8/4/2018,7416.98,7494.48,6926,7009.99,6831.75139
8/5/2018,7009.94,7086.8,6888.88,7032.61,6039.135145
8/6/2018,7028.89,7157.93,6835.06,6936.11,7317.642965
8/7/2018,6932.18,7155,6671,6717.68,10039.39296
